recipe_id,rank_surrogate,yield_score_surrogate,p_robust_valid_surrogate,mean_cd_fixed_surrogate,mean_cd_locked_surrogate,mean_ler_locked_surrogate,mean_area_frac_surrogate,mean_p_line_margin_surrogate,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
A_119,47,0.7954000000000002,0.9107666666666668,14.427005525464947,12.473147559883246,2.591709425758805,0.686062840856482,0.14153664547681274,robust_valid,1.0,15.459202706631098,12.625225969318523,2.514857926991862,0.6434895833333333,0.19853132685859343
A_1908,48,0.793641666666666,0.8961999999999993,15.09457828627635,12.433645504945261,2.5203222748509058,0.6122269056712966,0.12406410419809286,robust_valid,1.0,14.864208414130257,12.651107072535156,2.540029891220866,0.6187847222222222,0.21782579463297302
A_2116,49,0.793511629692043,0.922866666666667,16.020013370307957,12.508613632301058,2.524038030846863,0.6757002173032405,0.15136519378444263,robust_valid,1.0,14.099980077120843,12.36886921579686,2.519159996367122,0.5881597222222222,0.13948457958716154
A_1216,50,0.792275,0.8993333333333333,14.71620447844791,12.458524503818246,2.5237873712262746,0.5941457812500012,0.09542056744885499,robust_valid,1.0,14.391536001317121,12.461187823135907,2.4955909124098374,0.599375,0.11298049012957578
A_755,51,0.7921666666666667,0.9103833333333333,15.86632170840104,12.435312720604886,2.5699918965990283,0.6447130543981485,0.11009834294174324,robust_valid,1.0,15.127123649647132,12.35296458936459,2.5359577453787576,0.6298784722222223,0.17201868869584036
A_225,52,0.789766666666667,0.9196833333333336,15.720561331530302,12.401761499324886,2.5500861977447915,0.6538239267939815,0.12571901106115863,robust_valid,1.0,14.524682748088122,12.536163888459521,2.523747934986173,0.605,0.172362854183865
A_3129,53,0.7894750000000004,0.9144000000000004,14.260223210421387,12.37357982457112,2.550844968028388,0.6853025060763888,0.14260680907058876,robust_valid,1.0,14.937185174409567,12.47386360525811,2.463053035872289,0.6231770833333333,0.14988288047427312
A_4206,54,0.7883500000000003,0.9131000000000001,15.77332716603758,12.464573496331322,2.5167455783828685,0.653468406539352,0.13719492780359896,robust_valid,1.0,14.491630535756254,12.380698371070988,2.470253941008575,0.6039236111111111,0.12418866007298657
A_4728,55,0.7858083333333337,0.8989166666666669,15.616251251527695,12.386771954031666,2.573462073863824,0.6555502699652781,0.11354185451331013,robust_valid,1.0,14.225202900355182,12.456550361885167,2.543248441469248,0.5926215277777778,0.12254485697795037
A_1714,56,0.7853479033779341,0.9270666666666678,16.049177096622067,12.39485684968544,2.5714063328947443,0.663421527199074,0.12763267120463564,robust_valid,1.0,15.587736415626452,12.44449443278658,2.5158418467892973,0.64921875,0.20894544408427995
A_1754,57,0.7838333333333333,0.9064333333333332,15.094461402321222,12.45157230123339,2.5260313219446413,0.632724016493056,0.1343161031877428,robust_valid,-0.15334337646943652,12.846656623530563,12.437192124026884,2.5533561812200474,0.5348090277777777,0.11770181105342781
A_1975,58,0.7837833333333325,0.9022333333333326,15.286326622935126,12.454565969336517,2.558945224756035,0.6624955115740735,0.13118708569562304,robust_valid,0.4583741531539083,13.458374153153908,12.323706113351976,2.5477854112026552,0.5607638888888888,0.15281438263077285
A_456,59,0.7815250000000001,0.8898833333333336,15.35285533415792,12.416314379073226,2.545611047598781,0.6329311886574077,0.11085771721764842,robust_valid,1.0,14.181330773804387,12.604880052624669,2.522970772742765,0.5907986111111111,0.13073205820756395
A_3130,60,0.7813999999999997,0.9135333333333331,15.15292333612521,12.344375862353038,2.5486096336094763,0.6583250986689814,0.12722605332957887,robust_valid,0.5502128515678262,13.550212851567826,12.436180117476445,2.52597281205147,0.5646354166666666,0.11921213120519802
A_1088,61,0.7799666666666667,0.9060833333333332,15.493528642704431,12.426147466179794,2.601094106798394,0.6726498964120373,0.11139389606253705,robust_valid,1.0,14.348780623941073,12.49647338567453,2.517750683728278,0.5978645833333334,0.11333682493158304
A_2126,62,0.7787750000000002,0.9010000000000001,15.21757076856182,12.448404580889585,2.573989991646696,0.6752594045138889,0.1279233285398222,robust_valid,0.8464946154753683,16.15350538452463,12.518888479213231,2.5231156511391157,0.6727256944444444,0.1740788007830696
A_743,63,0.7778416666666665,0.9137666666666666,15.719262723851761,12.580413274926281,2.678821545534762,0.7726055940393514,0.17140103112147767,robust_valid,1.0,15.003494129832868,12.551556466059083,2.497847857164452,0.6256597222222222,0.14829251113900677
A_853,64,0.7775000000000004,0.8894000000000003,15.760757732924258,12.423899389158358,2.5256564253879743,0.6502850572916663,0.1379371036034422,robust_valid,1.0,14.685837080465507,12.663663582618046,2.5148823472666315,0.6118055555555556,0.1685996758337004
A_424,65,0.7768333333333334,0.9014666666666667,14.57298733062567,12.408305847440126,2.5246383441847784,0.6101426122685187,0.1129395639947953,robust_valid,1.0,14.974909605764443,12.273304836405652,2.5008244701250346,0.6245486111111112,0.18535467704980824
A_1842,66,0.7766750000000007,0.9151833333333339,15.619242649138283,12.450747433665487,2.551154946874914,0.6647076747685182,0.1271560182666805,robust_valid,1.0,14.606859885575991,12.611987643953071,2.5182549041556315,0.6083854166666667,0.1655543481153955
A_807,67,0.7757583333333334,0.9032833333333334,15.811249386393829,12.478838108685434,2.5181827130796814,0.6180921646412039,0.1138389945998334,robust_valid,1.0,15.434884824146485,12.419063982479774,2.4703797889933403,0.6428819444444445,0.15546554633424492
A_3666,68,0.7738916666666663,0.9012666666666662,15.255356574161633,12.462750445711595,2.5214104761846468,0.6249509027777783,0.12087761664751479,robust_valid,1.0,14.662179223459088,12.362888872181342,2.480929322211524,0.6111979166666667,0.14801677252844458
A_4000,69,0.7704333333333337,0.889766666666667,15.389313176702549,12.516225968795538,2.568782950083878,0.6949488616898143,0.15005113329009706,robust_valid,1.0,14.976713799353728,12.419387558817848,2.5187867710366425,0.6244965277777778,0.19657441898814088
A_194,70,0.7701611759623692,0.970533333333333,16.164405490704297,12.513621984140118,2.583765650610742,0.6970632065972224,0.15135971929618627,robust_valid,1.0,15.749525487804357,12.48829964380482,2.506067190914108,0.6561631944444445,0.24440039814993153
A_1084,71,0.7690667100485976,0.9252499999999999,16.05874995661807,12.495881273162235,2.5702580642756305,0.6713177384259267,0.13556290769065749,robust_valid,1.0,14.980455229482592,12.642980542414943,2.5128076359883194,0.62453125,0.1623370266123092
