recipe_id,rank_strict_06g,strict_score_06g,yield_score_06g,strict_score_06h,yield_score_06h,p_robust_valid_06h,mean_cd_fixed_06h,std_cd_fixed_06h,mean_ler_locked_06h,std_ler_locked_06h,mean_p_line_margin_06h,rank_strict_06h
G_475,56,0.6022681624205743,0.9248416666666668,0.5459979542120162,0.9770333333333361,0.9908333333333361,15.076019657855698,0.46331119105978963,2.5303059787234834,0.018710168885747627,0.16652358552537397,50
G_1477,57,0.5966714834359454,0.951758333333333,-1.0278253421503414,0.9811637688628873,0.9996166666666668,16.018236231137113,0.5138166362999286,2.5305640231223427,0.018798821879303124,0.20279759400230998,95
G_891,58,0.594655647127547,0.9315583333333339,0.10091279421682997,0.9882750000000012,0.995416666666668,15.710077472266187,0.29885207472333164,2.539682699327899,0.019302970941099815,0.2054950848370865,75
G_3663,59,0.5935277848132239,0.9803583333333353,-1.8096358794774976,0.6622480674678387,0.9999666666666667,16.337660265865495,0.33985153493773734,2.530910185465989,0.019729316777212787,0.212611112447986,99
G_2311,60,0.5893410985822867,0.9241250000000001,-0.15617969514548982,1.0,1.0,15.774725203780545,0.37816906860302124,2.5440469905140635,0.01897465221610146,0.2226092436288631,81
G_3718,61,0.5889888004232299,0.9268166666666675,0.5249282255525807,0.9673333333333336,0.9849166666666669,14.9475839535665,0.47877513009159545,2.5309656681465245,0.019931906235174178,0.1853439017137184,54
G_2331,62,0.5865123899913294,0.8874250000000002,0.6123864170516539,0.9439250000000009,0.9796166666666676,14.97660864766249,0.36443859930382133,2.533320807773413,0.019041346934552485,0.16968275929100238,28
G_3579,63,0.5837938299769976,0.9546250000000003,0.5651651727023629,0.9679916666666672,0.9865500000000007,14.94093261875495,0.44140633904859594,2.539108624048234,0.019024083446502613,0.19236754723017122,44
G_259,64,0.5837501860645122,0.8859416666666665,0.5977788073185406,0.9710750000000004,0.9888500000000003,15.358244190954247,0.41341578104548143,2.52880002469294,0.01714640235666986,0.1947711581694269,34
G_2186,65,0.5795336835027018,0.9882666666666682,-1.462346218072785,0.7875407521255959,0.9999333333333333,16.212284247874404,0.3656349085379257,2.5234859433445087,0.01998600268648103,0.2012377417263738,97
G_40,66,0.5792656356686431,0.9908750000000017,0.7966392830830585,1.0,1.0,15.033237190859722,0.2431896599053497,2.5377411110104693,0.01788075123206958,0.19507727441777206,1
G_1301,67,0.5776972555431824,0.9671916666666684,0.5316900995023297,0.9706916666666683,0.9845500000000017,14.47842388999788,0.4107727089615072,2.538025972904354,0.01924560456120593,0.18448909633653574,53
G_1260,68,0.5772443424518436,0.7749583333333335,-1.526230127860951,0.6472871024710967,0.9348499999999998,16.19860456419557,0.31419997470113736,2.5237695967020137,0.018214261247957938,0.1879960135368333,98
G_325,69,0.574856160186211,0.9118583333333335,0.6939237639726433,0.9808333333333344,0.9911333333333345,15.460275589501734,0.3312879750440393,2.5407741381471483,0.01803551710923528,0.21358465695186324,14
G_2421,70,0.5733434457036173,0.7899166666666675,-0.683927149168813,0.8551499999999999,0.9398999999999998,15.886264786593399,0.41771321422521657,2.515324641845757,0.021029042137775057,0.1917797836219532,88
