recipe_id,mode,strict_score_06l_eval,strict_score_06l_direct_mean,strict_score_06l_direct_std,yield_score_06l,p_robust_valid_06l,mean_cd_fixed_06l,std_cd_fixed_06l,mean_ler_locked_06l,std_ler_locked_06l,mean_p_line_margin_06l,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_2311,mode_a,-0.05632796362223639,-0.0784906704196307,0.8279537740110664,0.999975,0.9999833333333333,15.747830219348394,0.35899865247289003,2.542206324707713,0.018708775073188435,0.22216293772972098,24.0,0.52,56.391260443255305,0.19335319753736258,0.37178356451913713,41.44507609773427,0.19898184922523796,0.4564701094292104,0.012285866690799594,1.5089095500297844,50.0
G_3718,mode_a,0.5158067497593606,0.06517868326990424,0.38900278673624733,0.9736416666666675,0.9868500000000009,15.035903773814411,0.4950890095199452,2.5296146395700214,0.01843646884120274,0.18588930813295867,24.0,0.52,38.34586411714554,0.778246745467186,0.45106789767742156,35.903146169148386,0.17172409423626958,0.5764619218185544,0.01229337285272777,1.6342405481263995,50.0
G_2331,mode_a,0.6119278841660688,-0.1437995965444811,0.33076899074368954,0.9458750000000022,0.9814166666666688,14.938987219984792,0.36695256922029496,2.5326899929346838,0.018646749787665076,0.16931531312077602,24.0,0.52,52.884546934627,0.7385774021968246,0.5744115386158228,28.075784193351865,0.17785251015797257,0.5301883758977055,0.0021900292206555603,0.9922162666916847,50.0
G_3579,mode_a,0.65855894905259,0.5732468078030055,0.2221135278725044,0.9748166666666662,0.9858499999999996,15.076516788887512,0.3550014977526396,2.540494901305692,0.01868846499659368,0.1923520505474416,24.0,0.52,43.17055651266128,0.44133578706532717,0.4306526716798544,38.3617246337235,0.19776895059272648,0.559381387103349,0.02387330761179328,0.7504660510458052,50.0
G_259,mode_a,0.5459326605998726,-1.3481952518624256,1.9445637442188732,0.9715916666666676,0.987550000000001,15.471895385451758,0.4656158913976563,2.5279475951238455,0.01875886694607901,0.19734527521560302,24.0,0.52,59.73821348045021,1.4279890917241573,0.3188813945278525,27.00947481673211,0.18118950698524713,0.6085903221741319,0.010392183428630233,1.1839013970457017,50.0
G_2186,mode_a,-1.3957484935705724,-1.0207430912291042,1.077688643188235,0.8047967710469136,0.99995,16.195078228953086,0.35143902344554606,2.521699499138787,0.01874185422446763,0.20168457538586665,24.0,0.52,50.40354428719729,1.0831009531393647,0.426530144829303,34.4245233386755,0.193946105344221,0.5702983365394175,0.018295924896374344,0.9142045667394996,50.0
G_40,mode_a,0.7278516138259302,0.6795428672703612,0.10159316550689412,0.9978250000000006,0.9992500000000006,14.946303770207924,0.30899617308950145,2.5390912080271075,0.018484658890518504,0.19306046544276106,24.0,0.52,51.21018814668059,0.3837156593799591,0.37765813916921614,36.2422287510708,0.16826335556805133,0.5311508083716034,0.011171542648226023,0.6190516701899469,50.0
G_1301,mode_a,0.6166547199388386,0.27306172970289205,0.2780521643153287,0.9711750000000016,0.986233333333335,14.5930816564158,0.3913637752296268,2.537595604878134,0.018971197013571302,0.18531637470099752,24.0,0.52,37.55520306061953,0.4148001205176115,0.43464836310595273,33.50103965960443,0.1961115162074566,0.5451851823367179,0.015023230500519276,1.4506790395826101,50.0
G_1260,mode_a,-1.9215040292854013,-1.9695634296171196,1.6223172185719223,0.5367235964525607,0.9190166666666663,16.289668070214105,0.4168611212618152,2.5256593518396513,0.018354364267129386,0.18858727234251457,24.0,0.52,45.03550066240132,1.345526640303433,0.6124457108788193,33.55316694825888,0.1830368428584188,0.6427466452121735,0.017745476067066192,1.9215603494085371,50.0
G_325,mode_a,0.5525974407349947,0.14179123159238832,0.42751761849433356,0.9597500000000015,0.9796333333333349,15.570901862365432,0.2378862872514298,2.5432212086135757,0.018967876544781537,0.21169301342043412,24.0,0.52,52.69707614835352,0.3917016237974167,0.3239590355195105,41.09113542828709,0.19938198635354637,0.5763193900696933,0.027553225569427013,0.6717958548106253,50.0
