recipe_id,rank_surrogate,yield_score_06c,yield_score_06a,fd_label,CD_final_nm,CD_error_nm,LER_CD_locked_nm,P_line_margin_fd,area_frac_fd,defect_indicator,nominal_pareto_rank,nominal_crowding_distance,balanced_score,balanced_rank,cd_only_rank,ler_only_rank,yield_score_rank_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_4008,41,0.9795500000000021,-0.6347584727799858,robust_valid,16.658279695768478,1.6582796957684778,2.527014346662886,0.2777403847916141,0.6940798611111111,0,1,inf,0.04435242086312785,63,91,82,41,24.0,0.52,57.10445555951446,0.027334509417414665,0.39146149922162293,35.44070199597627,0.20182667962275447,0.646602425724268,0.019148177755996584,0.8789307842962444,50.0
D_4836,42,0.9790916666666682,0.8611916666666671,robust_valid,14.46973645792146,0.53026354207854,2.485244478797356,0.12974764958472362,0.6027083333333333,0,1,inf,-1.1061084277698894,25,38,1,42,24.0,0.52,54.34673005063087,1.274950417689979,0.46932370979338883,26.47297240793705,0.1758589035831392,0.5585660075768828,0.015073543936014174,1.4207922336645424,50.0
D_3372,43,0.9790000000000005,-0.5550586522268349,robust_valid,17.81051221193515,2.8105122119351513,2.5226990802388425,0.24466906986075665,0.7415451388888888,0,3,inf,2.4466989896790894,89,100,68,43,24.0,0.52,57.898932670243084,0.5469867205247283,0.5595840287394822,32.76844230014831,0.19267110334709286,0.6079203153029085,0.007882957784458994,1.4029643880203366,50.0
D_1485,44,0.9783666666666695,0.7500236593133462,robust_valid,15.249295002339284,0.24929500233928437,2.520230089256896,0.14427466788570464,0.6352777777777778,0,3,0.204251910582462,0.5339511128663775,74,17,61,44,24.0,0.52,55.626294071786106,0.8127282746136189,0.5398917125537992,33.568270090036094,0.16425465142354367,0.5022635200992227,0.007714176038280129,1.3710595550946891,50.0
D_785,45,0.9782666666666682,0.160932990732511,robust_valid,14.868327024946893,0.1316729750531067,2.5246450258587694,0.15128455459334833,0.6196006944444444,0,2,0.09772542945811175,0.4786982810000642,73,9,73,45,24.0,0.52,53.00051589310169,0.3893648022785783,0.5369446223601699,34.486201643012464,0.1793073286116123,0.4806756652891636,0.009466865826398134,1.8151151635684073,50.0
D_2935,46,0.9770000000000001,0.6627476571932139,robust_valid,15.813631559258269,0.813631559258269,2.5062934936175667,0.234642276481573,0.6587326388888889,0,1,0.10648459323870152,-1.7398539694833006,7,59,23,46,24.0,0.52,57.318382694385946,1.0741920992732048,0.33674759529531,29.55933218356222,0.19552639950066805,0.6196695625782014,0.017447983156889675,1.7505008154548705,50.0
D_1397,47,0.9765333333333349,0.8192750000000003,robust_valid,13.702765772134152,1.2972342278658484,2.518589743019496,0.12108132898609936,0.5709722222222222,0,5,inf,2.710154072043161,92,81,54,47,24.0,0.52,49.447499234229326,0.32088076137006283,0.5017628527246416,27.139974017627537,0.1972606572136283,0.47350493287667633,0.0060283354204148055,1.2157188430428505,50.0
D_1928,48,0.9754344645430281,-1.0773673552736605,robust_valid,17.131549339272787,2.1315493392727873,2.5215236918229196,0.23048492953732302,0.713125,0,3,0.7403562790619367,1.597493110802954,83,97,62,48,24.0,0.52,56.230577948503196,0.625813233666122,0.4324297785758972,42.17646758072078,0.19309218730777503,0.4794455327093601,0.015097572170197963,0.7530301311053336,50.0
D_1788,49,0.9750166666666684,0.10234816460322083,robust_valid,16.10175258031479,1.1017525803147912,2.4965698717133646,0.21241775192717827,0.6711805555555556,0,1,0.17971144083291551,-1.4036169415741087,19,72,7,49,24.0,0.52,57.562863724306226,1.0275439471006393,0.3968046234920621,34.51120902784169,0.16349231318570673,0.6022342598997057,0.012606506226584316,1.5318472664803267,50.0
D_1901,50,0.9736083333333346,0.19031967467960853,robust_valid,17.04467439141939,2.0446743914193917,2.5118442706897546,0.24715120290580384,0.7098784722222222,0,2,0.6430443277523684,0.36487102990731546,72,96,36,50,24.0,0.52,57.54419148992747,0.6975492853671312,0.5637562868185342,30.363695141859353,0.21087823298759759,0.6438250737264752,0.021090208729729054,1.5044330591335893,50.0
