recipe_id,rank_06l,fd_label,FD_CD_final_nm,FD_CD_error_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac,strict_score_fd_nominal,strict_score_06l_surrogate,FD_pass_strict,pitch_nm,line_cd_ratio
J_2380,79,robust_valid,12.48299861612417,2.5170013838758294,2.67962963306553,0.0996662434785468,0.6247916666666666,-5.026087590757851,-5.662086995260636,False,20.0,0.6
J_1637,80,robust_valid,15.11121196463805,0.11121196463805028,2.458030272625318,0.09100207582874109,0.5399107142857142,1.0227505189571853,-5.66813241766916,True,28.0,0.52
J_4085,81,robust_valid,16.915636419268825,1.915636419268825,2.4519771805143047,0.1607387529535178,0.6041220238095238,-3.2067245695680957,-5.701228577176202,False,28.0,0.52
J_837,82,robust_valid,15.318627758477723,0.3186277584777226,2.3887365306846267,0.12937596702272924,0.5473958333333333,1.0323439917556823,-5.848520227214821,True,28.0,0.45
J_217,83,margin_risk,13.230383084315076,1.7696169156849244,2.412480179919876,0.012787263061480925,0.41376302083333333,-4.305653931289403,-5.884831667975061,False,32.0,0.45
J_1981,84,robust_valid,15.900159509042158,0.9001595090421581,2.419722681372786,0.1818237131712116,0.5679613095238095,-0.1550225988336715,-5.953606677843563,False,28.0,0.45
J_2246,85,robust_valid,16.05951336006003,1.0595133600600306,2.46089122773326,0.13417737588395873,0.5739285714285715,-0.6449957362091021,-6.051128091953178,False,28.0,0.52
J_2517,86,robust_valid,15.912925745420868,0.9129257454208677,2.4340186165123727,0.11962631182567296,0.5681101190476191,-0.20887065830618481,-6.166614483244432,False,28.0,0.45
J_1021,87,robust_valid,14.738432539542298,0.26156746045770163,2.374403066104936,0.08449612756288505,0.526875,1.0211240318907213,-6.207726095199142,True,28.0,0.45
J_3437,88,robust_valid,16.390583513707547,1.390583513707547,2.490002491650995,0.17532999035217867,0.6823784722222223,-1.6279180435345966,-6.226965614590623,False,24.0,0.52
J_2323,89,robust_valid,13.945576229926647,1.0544237700733525,2.5751198423665143,0.1644460046747671,0.5811805555555556,-0.6221598090513658,-6.309627144913163,False,24.0,0.45
J_2563,90,robust_valid,16.113042566752455,1.1130425667524548,2.6159259639639276,0.13672143519654079,0.6712673611111111,-0.8049473414582293,-6.312826653942721,False,24.0,0.52
J_825,91,robust_valid,14.103916987119817,0.8960830128801831,2.3488906814194115,0.06305568591540744,0.5038690476190476,-0.17248511716169745,-6.315054997089101,False,28.0,0.45
J_3018,92,robust_valid,16.742096606740898,1.7420966067408976,2.4348260957819554,0.14934617014472673,0.5982886904761905,-2.6889532776865113,-6.338393560944276,False,28.0,0.52
J_2330,93,robust_valid,16.95657377904654,1.9565737790465398,2.3592502937787208,0.08996846848445483,0.6059672619047619,-3.3472292200185056,-6.711434272137024,False,28.0,0.52
J_625,94,robust_valid,16.889447540341962,1.889447540341962,2.3968036205819927,0.17076759434766675,0.5278255208333333,-3.1256507224389694,-6.714383158408334,False,32.0,0.45
J_4505,95,robust_valid,21.408097553024255,6.408097553024255,2.4608940021473353,0.23204445821839859,0.7636458333333334,-16.666281544518167,-6.932632220065358,False,28.0,0.52
J_13,96,robust_valid,14.890932273540813,0.1090677264591875,2.5870848734026746,0.10932954846210419,0.6196701388888889,1.027332387115526,-7.180218978837343,True,24.0,0.45
J_26,97,robust_valid,16.891128066616453,1.891128066616453,2.4476305180483062,0.15646023529149855,0.6031547619047619,-3.134269141026484,-7.355566837444399,False,28.0,0.52
J_1725,98,robust_valid,17.745201508970844,2.745201508970844,2.4475007303518908,0.18084841595362322,0.6332291666666666,-5.690392422924126,-7.823099735519052,False,28.0,0.52
J_313,99,robust_valid,14.17992085921143,0.8200791407885699,2.463540950697342,0.1298839668085332,0.5062946428571429,0.07223356933642355,-8.164760890402516,False,28.0,0.45
J_3882,100,robust_valid,16.91393375897344,1.9139337589734389,2.4217121196946096,0.14037833600711258,0.604077380952381,-3.2067066929185386,-9.509799590793321,False,28.0,0.52
