thickness_nm,amplitude,absorption_length_nm,DH_nm2_s,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,sidewall_x_displacement_std_nm,psd_mid_band_locked,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,bounds_ok
20.0,0.05,30.0,0.8,45.96480324409011,1.0353374880008062,19.2751245338277,58.065469286424104,0.1761039251647098,2.6731004465813433,1.7739519836492765,0.49687499999999996,12.284799908141025,ok,0.024958750383997367,0.24037173075590085,0.7003793268530296,True
20.0,0.05,60.0,0.3,24.31757936934918,3.2033237926444578,9.037266514970336,62.836488049623654,0.08642114528344465,0.9997142768708225,0.27286609794975647,0.54375,12.63686998973203,ok,0.016313112503540773,0.14711787155836087,0.7662182124412664,True
20.0,0.05,60.0,0.5,24.31757936934918,3.2033237926444578,8.787713860555696,63.86271130410261,0.0841735181012758,1.114274324357966,0.31726774282401654,0.54375,12.491551434157307,ok,0.023748925825558025,0.21814433383807297,0.7440652646925746,True
20.0,0.05,60.0,0.8,24.31757936934918,3.2033237926444578,8.459484830553688,65.21247159486462,0.08117118534645262,1.2782511068138134,0.4012747828181399,0.54375,12.365046445381745,ok,0.030909512231508854,0.2916112089057412,0.7145820459831367,True
20.0,0.05,100.0,0.3,16.568958812656312,4.282831019369519,5.165764050133757,68.82263931884572,0.04984271824677356,0.5915873895702628,0.10023918295038832,0.5609375,12.698492416549431,ok,0.018023920834949223,0.16183764875209342,0.7694818030693827,True
20.0,0.05,100.0,0.5,16.568958812656312,4.282831019369519,4.991529083365615,69.87421394546047,0.048623027965007136,0.6565219897703889,0.11309245994425257,0.559375,12.601781912270791,ok,0.026021743613115565,0.2372357131561508,0.7484064316836901,True
20.0,0.05,100.0,0.8,16.568958812656312,4.282831019369519,4.814328974055077,70.94368434075882,0.04699744247128611,0.7502756811553619,0.13808807673874163,0.559375,12.494102956220935,ok,0.033587436223643095,0.3137418570188764,0.7202035302649025,True
20.0,0.1,15.0,0.3,101.58792718797339,4.494616681812232,52.51171222546038,48.30910160387932,0.41722780239352314,4.520477072457152,6.087048504089745,0.38749999999999996,12.566023430843748,ok,0.00746488947435951,0.06835486176070572,0.7423933474767922,True
20.0,0.1,15.0,0.5,101.58792718797339,4.494616681812232,50.13279751363908,50.6508313523557,0.40216692600098886,5.025764304047568,7.168244591727694,0.38749999999999996,12.58985212975205,ok,0.011549012132854919,0.10930965141317636,0.711457790702675,True
20.0,0.1,15.0,0.8,101.58792718797339,4.494616681812232,47.18714092694641,53.550444198321316,0.3828522339630893,5.825575946251637,9.395414166409187,0.38984375000000004,12.592596301175963,ok,0.0160660543635786,0.15782063117968936,0.6721918626039329,True
20.0,0.1,30.0,0.3,52.052567276169206,7.123101520079899,21.054236047380915,59.5519738043353,0.19052922691573929,2.0680105466455037,1.1867100520478948,0.49218749999999994,12.637694412841098,ok,0.012602832836211456,0.11475178582032956,0.7591666746228908,True
20.0,0.1,30.0,0.5,52.052567276169206,7.123101520079899,20.335369341802522,60.93301367075416,0.18475911916243914,2.3530463041509373,1.454384253404998,0.49687499999999996,12.374269436925326,ok,0.018730956476488456,0.17477674021453102,0.7337162568888294,True
20.0,0.1,30.0,0.8,52.052567276169206,7.123101520079899,19.408199398996274,62.71423214147255,0.17710216881683025,2.6932173859277446,1.8194183322594548,0.49687499999999996,12.264354701964587,ok,0.024906332227577592,0.23989788965826744,0.7006840537775461,True
