sweep,x_var,y_var,x_val,y_val,CD_final_nm,CD_locked_nm,LER_CD_locked_nm,P_line_margin,area_frac,contrast,psd_locked_mid,status
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,20,0.8,10.56145206698029,12.5043950911135,2.486728968792829,-0.03893727253914614,0.44072916666666667,0.4128056695412977,0.9667749840974167,under_exposed
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,30,0.8,15.04757922819186,12.300156063116582,2.5885506034555616,0.06784011563100167,0.62671875,0.3941591840529038,0.7869027398071504,robust_valid
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,45,0.8,21.27815814115152,12.702844839962498,2.8157721979232213,0.15946643135954308,0.8956423611111111,0.3279635136378436,0.6740129575729897,merged
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,0,0.0,14.246859439171104,12.353908359833643,2.5195701595897715,0.1422139688794154,0.5937152777777778,0.5821537436957489,1.743814297269397,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,1,0.0,15.080649018258416,12.503947966381581,2.5001518374926226,0.14411368799443736,0.6284201388888889,0.5486351142327369,1.450193447895804,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,2,0.0,16.291935924980645,12.514091848393052,2.483516952227476,0.13986024391190022,0.6786805555555555,0.4789333833255812,0.9893846692157187,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,3,0.0,18.308368679331714,12.479130917133734,2.5269519815717443,0.1297526303377291,0.7647222222222222,0.381950510145269,0.5966739260935305,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,0,0.005,13.927527714542546,12.369275430420974,2.5203534771715788,0.13184249168401607,0.5802951388888888,0.5859662531148122,1.766767584533678,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,1,0.005,14.72453429639151,12.602901735033175,2.5009707951724094,0.1337470040253771,0.6137847222222222,0.5537654374812397,1.470469274877667,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,2,0.005,15.832481882687755,12.640712886314319,2.483441602009481,0.12927005703647299,0.6597395833333334,0.4854933662751677,1.0023942438598537,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,3,0.005,17.59039093226263,12.578641243672593,2.5247722579101994,0.11871734673157286,0.7330555555555556,0.38903820615059387,0.6024793270051941,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,0,0.01,13.61770822227287,12.414916145753466,2.5214265557582745,0.12114008841031954,0.5674305555555555,0.5887372298057981,1.7904207204165445,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,1,0.01,14.37680836735791,12.619787737921353,2.500839904128222,0.12304434004333087,0.5990104166666667,0.5578799315573768,1.4893265539911966,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,2,0.01,15.387975299595533,12.441073032246951,2.4770614266401916,0.11834158407050877,0.64109375,0.49114079958411677,1.0103132083380995,robust_valid
