block_label,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_PEB_high,psd_high_band_reduction_pct,status
primary,18.0,59.0,2.0,0.5,30.0,0.02,1.0,0.6631036737097067,0.8278756312699606,0.17787563126996053,0.16477195756025387,0.9996990740740741,0.9720682998228364,12.614598889880975,17.497229396811054,4.882630506930079,2.77190169436708,2.820585026558353,0.027275485682208295,-1.7563152506528288,99.03298480898874,99.01600097371289,0.008323164843572813,98.93014124623451,merged
primary,18.0,60.0,2.0,0.5,30.0,0.02,1.0,0.667290772463961,0.8305323663565776,0.18053236635657754,0.1632415938926166,0.9999074074074074,0.9721990202325558,12.614598889880975,17.499582364186004,4.884983474305029,2.77190169436708,2.820585026558353,0.006276858091156896,-1.7563152506528288,99.77746254652652,99.77355408729277,0.001487558889167105,99.8087893332371,merged
primary,20.0,21.0,2.0,0.5,30.0,0.02,1.0,0.2881890931832059,0.5689602961765342,-0.08103970382346581,0.2807712029933283,0.4311875,0.4303683356311545,12.46689001848755,8.60736671262309,-3.8595233058644602,2.77190169436708,2.6158313592245284,2.8076834679927165,5.630442647360473,-7.334269011327371,-1.2908745536809778,0.00016054805025223035,99.97936317011731,under_exposed
primary,20.0,28.4,2.0,0.5,30.0,0.02,1.0,0.35882869528083067,0.6584899256255387,0.00848992562553863,0.299661230344708,0.6399166666666667,0.6400657940992285,12.46689001848755,12.80131588198457,0.3344258634970192,2.77190169436708,2.6158313592245284,3.2419287877383676,5.630442647360473,-23.934930908521864,-16.95684570367171,0.014530471810753436,98.13225464649044,valid
primary,20.0,40.0,2.0,0.5,30.0,0.02,1.0,0.44675821037168684,0.7476063547451861,0.09760635474518609,0.30084814437349927,0.8357083333333334,0.8281261712897721,12.46689001848755,16.56252342579544,4.09563340730789,2.77190169436708,2.6158313592245284,3.4987690932168882,5.630442647360473,-33.753618362236836,-26.222697591581685,0.3146083686365621,59.56027262230408,robust_valid
primary,20.0,44.2,2.0,0.5,30.0,0.02,1.0,0.4731031491486488,0.7699846648378273,0.11998466483782733,0.29688151568917853,0.8791458333333333,0.8690917400884695,12.46689001848755,17.38183480176939,4.91494478328184,2.77190169436708,2.6158313592245284,3.109922716172754,5.630442647360473,-18.888501936711265,-12.194553020858692,0.31983394893876893,58.888577067200714,merged
primary,20.0,59.0,2.0,0.5,30.0,0.02,1.0,0.5485389345003381,0.8242335221243975,0.17423352212439747,0.2756945876240594,0.9620625,0.9428385641065071,12.46689001848755,18.856771282130143,6.389881263642593,2.77190169436708,2.6158313592245284,1.7712045439324366,5.630442647360473,32.28903928816283,36.1014660970196,0.1645972551748232,78.84268573263458,merged
primary,20.0,60.0,2.0,0.5,30.0,0.02,1.0,0.5528268708620134,0.8269061088649475,0.1769061088649475,0.2740792380029341,0.9644791666666667,0.9451625357669157,12.46689001848755,18.903250715338313,6.4363606968507625,2.77190169436708,2.6158313592245284,1.702876523794711,5.630442647360473,34.90113505254658,38.566489307495594,0.1641716335780135,78.89739508895474,merged
primary,24.0,21.0,2.0,0.5,30.0,0.02,1.0,0.1489003542617172,0.5670311971293444,-0.08296880287065567,0.41813084286762714,0.3375520833333333,0.33712100492617786,12.458324199521941,8.090904118228268,-4.367420081293673,2.77190169436708,2.6041346164160317,2.5110322568263004,6.05241803098487,3.5751746089787195,9.41120812729057,0.0001981103182275924,99.97453492005138,under_exposed
primary,24.0,28.4,2.0,0.5,30.0,0.02,1.0,0.1902960977140512,0.6564305085654224,0.006430508565422377,0.4661344108513712,0.48918402777777775,0.4892987982498233,12.458324199521941,11.743171157995759,-0.7151530415261824,2.77190169436708,2.6041346164160317,2.4616557076442196,6.05241803098487,5.471257433223642,11.192532092798485,6.746474828005362e-05,99.99132808818827,valid
primary,24.0,40.0,2.0,0.5,30.0,0.02,1.0,0.2458958293717591,0.7455084725972216,0.09550847259722162,0.4996126432254625,0.6056597222222222,0.6052992135613827,12.458324199521941,14.527181125473186,2.068856925951245,2.77190169436708,2.6041346164160317,2.528799282447813,6.05241803098487,2.892912428309864,8.770239305863106,1.555515235368112e-05,99.9980005423148,robust_valid
primary,24.0,44.2,2.0,0.5,30.0,0.02,1.0,0.26361928217755143,0.7678943183308565,0.1178943183308565,0.504275036153305,0.6340277777777777,0.6341379534666723,12.458324199521941,15.219310883200137,2.7609866836781958,2.77190169436708,2.6041346164160317,2.565527239576071,6.05241803098487,1.4825415167321367,7.445229937641474,1.0155228923189079e-05,99.99869464791769,robust_valid
primary,24.0,59.0,2.0,0.5,30.0,0.02,1.0,0.3177430796926703,0.8221920566982392,0.17219205669823923,0.5044489770055689,0.7108680555555555,0.7116110221396963,12.458324199521941,17.07866453135271,4.62034033183077,2.77190169436708,2.6041346164160317,2.75518496835304,6.05241803098487,-5.800404901682571,0.603077881441866,5.0681437126613096e-05,99.9934854132794,robust_valid
primary,24.0,60.0,2.0,0.5,30.0,0.02,1.0,0.3209909159146179,0.8248680644604298,0.1748680644604298,0.5038771485458119,0.7153993055555555,0.7159944366622114,12.458324199521941,17.183866479893073,4.7255422803711316,2.77190169436708,2.6041346164160317,2.772652604274108,6.05241803098487,-6.471170376360994,-0.0270900627014997,5.9530213326072994e-05,99.99234799249595,robust_valid
primary,28.0,21.0,2.0,0.5,30.0,0.02,1.0,0.06801283386528055,0.5668442539407712,-0.08315574605922882,0.49883142007549064,0.2867857142857143,0.28663464640166797,12.45832028738385,8.025770099246703,-4.432550188137148,2.77190169436708,2.6041283023589976,2.472078767094216,6.0526458188983785,5.070776856315497,10.816506511834428,0.00020666379774523933,99.97343545667309,under_exposed
primary,28.0,28.4,2.0,0.5,30.0,0.02,1.0,0.08810700516684568,0.6562292936458689,0.006229293645868883,0.5681222884790232,0.41502976190476193,0.41479026052703294,12.45832028738385,11.614127294756923,-0.8441929926269278,2.77190169436708,2.6041283023589976,2.3852227311264054,6.0526458188983785,8.406097773074107,13.949952266578006,7.95262657634309e-05,99.9897777019703,valid
primary,28.0,40.0,2.0,0.5,30.0,0.02,1.0,0.116166107831551,0.7453004411226519,0.0953004411226519,0.6291343332911009,0.5096130952380953,0.5095625168101475,12.45832028738385,14.267750470684131,1.8094301833002806,2.77190169436708,2.6041283023589976,2.3748216549309777,6.0526458188983785,8.805504983003265,14.325184772715007,3.118605134783199e-05,99.99599134816418,robust_valid
primary,28.0,44.2,2.0,0.5,30.0,0.02,1.0,0.12540187891900617,0.7676858507422926,0.11768585074229254,0.6422839718232864,0.5324702380952381,0.5322664494296474,12.45832028738385,14.903460584030128,2.4451402966462776,2.77190169436708,2.6041283023589976,2.3756216327537016,6.0526458188983785,8.774785382052759,14.296324520407016,2.3932268905403255e-05,99.99692374861401,robust_valid
primary,28.0,59.0,2.0,0.5,30.0,0.02,1.0,0.1546046780731035,0.8219842058970772,0.1719842058970772,0.6673795278239737,0.5900892857142858,0.5898836139299515,12.45832028738385,16.51674119003864,4.05842090265479,2.77190169436708,2.6041283023589976,2.384522208827129,6.0526458188983785,8.432998225660942,13.975224530046079,8.422967639451659e-06,99.99891731260512,robust_valid
primary,28.0,60.0,2.0,0.5,30.0,0.02,1.0,0.15640890333592536,0.8246602675534377,0.17466026755343766,0.6682513642175123,0.5930505952380952,0.5929312506216036,12.45832028738385,16.6020750174049,4.143754730021049,2.77190169436708,2.6041283023589976,2.3853794619754582,6.0526458188983785,8.400079219805788,13.944297995022438,7.804113832818057e-06,99.99899686000983,robust_valid
